user_id,content_id,age,gender,country,account_age_months,subscription_type,monthly_fee,payment_method,primary_device,devices_used,favorite_genre,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,rating_given,content_interactions,recommendation_click_rate,days_since_last_login,churned,title,type,genre,language,country_production,release_year,duration_minutes,imdb_rating,popularity_score,total_views,avg_completion_rate,age_rating,engagement_score,churn_impact_score,age_group,watch_time_group,completion_group,sessions_group,churn_label
U125588,C30828,31,Female,Germany,47,Basic,12.99,UPI,Tablet,1,Thriller,166,8,5,56,3.0,30,66,2,Yes,Last Life,Series,Drama,Japanese,Germany,1999,155,8.6,44.56,8310032,0.71,18+,60.42400000000001,0.2,26-35,120-180,Medio,Alto,Inactivo
U145694,C38847,43,Other,Germany,43,Basic,15.99,Debit Card,Laptop,3,Comedy,42,17,0,98,4.5,7,71,10,No,Last World,Series,Documentary,Spanish,South Korea,1995,168,5.2,70.76,1273247,0.82,18+,77.50399999999999,0.18,36-45,30-60,Muy alto,Muy alto,Activo
U149726,C16184,45,Male,UK,18,Basic,12.99,PayPal,Laptop,3,Documentary,85,10,4,43,4.2,37,39,37,No,World Game,Series,Action,Japanese,Germany,2009,152,6.6,65.35,2875198,0.57,18+,60.34,0.4,36-45,60-120,Bajo,Alto,Activo
U137426,C40425,37,Other,India,59,Standard,7.99,Credit Card,Smart TV,2,Horror,199,16,6,88,4.4,22,56,50,No,Life Last,Movie,Drama,Korean,USA,2001,76,8.4,80.38,7017488,0.81,18+,80.75200000000001,0.09,36-45,180+,Alto,Muy alto,Activo
U115877,C49995,18,Male,India,31,Standard,15.99,PayPal,Tablet,2,Documentary,257,16,11,82,2.4,10,75,39,No,Life Life,Series,Comedy,Japanese,France,2002,105,6.8,68.32,2485439,0.69,PG-13,68.728,0.3,,180+,Alto,Muy alto,Activo
U122258,C26459,53,Female,Brazil,48,Basic,7.99,Credit Card,Tablet,3,Drama,294,4,7,57,4.3,32,33,44,No,Dark World,Movie,Horror,Spanish,France,2016,112,4.3,88.98,5031938,0.83,16+,85.392,0.18,46-60,180+,Medio,Medio,Activo
U142898,C20142,26,Female,France,51,Standard,12.99,UPI,Mobile,3,Horror,173,18,14,36,4.9,28,88,30,Yes,World Secret,Movie,Action,English,Japan,2007,115,5.4,72.1,102641,0.65,PG-13,67.84,0.31,26-35,120-180,Bajo,Muy alto,Inactivo
U149259,C22200,62,Female,Germany,34,Standard,12.99,PayPal,Tablet,1,Drama,270,15,10,66,2.6,9,80,31,No,Secret Life,Movie,Action,German,Japan,2012,131,7.9,75.92,6672655,0.93,18+,86.168,0.11,60+,180+,Medio,Muy alto,Activo
U149265,C35326,39,Other,Spain,44,Standard,12.99,UPI,Laptop,2,Romance,289,9,11,98,1.3,27,67,49,No,Night Dark,Movie,Documentary,English,France,2011,131,6.4,45.42,6121168,0.59,16+,53.568,0.36,36-45,180+,Muy alto,Alto,Activo
U139439,C28684,21,Female,Germany,49,Standard,7.99,UPI,Laptop,3,Romance,54,7,1,46,2.2,9,59,2,No,Secret Secret,Movie,Documentary,Japanese,USA,1997,128,6.7,25.21,2538918,0.89,PG,63.484,0.13,18-25,30-60,Bajo,Alto,Activo
U139563,C9910,21,Male,France,43,Standard,15.99,Credit Card,Mobile,2,Sci-Fi,115,13,3,70,2.1,40,55,34,No,Last Secret,Movie,Action,Korean,Germany,2023,106,7.1,39.31,7020019,0.91,PG,70.324,0.14,18-25,60-120,Medio,Muy alto,Activo
U111472,C4339,28,Female,Germany,30,Standard,7.99,Credit Card,Tablet,2,Documentary,71,17,8,78,2.4,35,59,0,No,Love Life,Movie,Comedy,Spanish,Japan,2020,128,7.3,74.96,564467,0.98,PG-13,88.78399999999999,0.03,26-35,60-120,Alto,Muy alto,Activo
U126887,C9353,44,Other,Australia,8,Premium,15.99,Debit Card,Tablet,3,Sci-Fi,274,2,7,48,2.9,5,40,45,No,Last Dark,Movie,Comedy,English,Germany,1998,168,6.8,60.53,8317607,0.39,16+,47.612,0.61,36-45,180+,Bajo,Bajo,Activo
U129827,C37629,35,Male,USA,41,Standard,15.99,Credit Card,Mobile,1,Horror,47,15,9,44,1.2,46,90,17,No,Night Love,Movie,Thriller,English,South Korea,2004,75,4.5,63.23,2243601,0.83,16+,75.092,0.24,26-35,30-60,Bajo,Muy alto,Activo
U111768,C38243,23,Female,India,28,Basic,15.99,Debit Card,Mobile,3,Romance,229,12,2,73,5.0,29,87,24,No,Life Last,Movie,Drama,German,Japan,2004,114,4.5,3.46,582189,0.77,PG,47.584,0.19,18-25,180+,Medio,Muy alto,Activo
U148271,C16616,25,Other,Germany,13,Basic,12.99,Credit Card,Smart TV,1,Comedy,145,14,5,76,4.3,8,91,42,No,Last Love,Movie,Documentary,Japanese,Japan,2001,139,7.3,33.75,8000768,0.43,18+,39.3,0.49,18-25,120-180,Alto,Muy alto,Activo
U128623,C164,64,Female,Japan,27,Standard,12.99,PayPal,Laptop,2,Horror,119,12,9,74,2.2,20,47,43,Yes,Game World,Series,Horror,Korean,South Korea,2012,171,4.7,71.3,4638535,0.75,PG-13,73.52,0.23,60+,60-120,Medio,Muy alto,Inactivo
U111849,C5850,48,Male,France,2,Basic,12.99,Debit Card,Smart TV,1,Action,75,1,5,97,4.5,0,90,19,Yes,Night Game,Movie,Thriller,French,Japan,1996,135,7.0,68.04,202982,0.63,18+,65.016,0.39,46-60,60-120,Muy alto,Bajo,Inactivo
U131457,C34032,63,Female,UK,44,Standard,7.99,UPI,Smart TV,3,Action,230,7,7,96,4.6,20,92,38,Yes,Love Life,Movie,Sci-Fi,Japanese,France,2001,122,5.6,82.56,2114133,0.87,18+,85.22399999999999,0.13,60+,180+,Muy alto,Alto,Inactivo
U138861,C40979,34,Other,Spain,52,Premium,7.99,Debit Card,Laptop,3,Romance,239,18,9,84,2.9,29,44,51,No,Game Life,Movie,Comedy,English,USA,2013,128,5.7,31.05,624213,0.99,18+,71.82,0.05,26-35,180+,Alto,Muy alto,Activo
U139336,C40831,19,Male,Australia,46,Premium,15.99,Credit Card,Tablet,2,Romance,220,19,5,50,3.6,29,73,49,Yes,Night Life,Movie,Comedy,French,Japan,1996,125,4.4,12.91,2884636,0.56,16+,38.764,0.4,18-25,180+,Bajo,Muy alto,Inactivo
U118404,C10747,55,Other,Spain,58,Standard,7.99,Debit Card,Mobile,1,Sci-Fi,147,7,11,78,4.1,38,80,13,No,Last Night,Series,Sci-Fi,French,USA,1998,149,6.0,52.23,9810076,0.92,PG,76.092,0.09,46-60,120-180,Alto,Alto,Activo
U139779,C28694,33,Other,UK,41,Basic,12.99,UPI,Laptop,3,Romance,228,18,2,41,2.4,44,51,59,No,Dark Night,Movie,Romance,Japanese,Japan,2010,78,7.2,76.9,6233497,0.94,18+,87.16,0.11,26-35,180+,Bajo,Muy alto,Activo
U132809,C13555,39,Other,Germany,47,Basic,15.99,Debit Card,Mobile,2,Thriller,163,10,6,86,2.0,28,4,56,Yes,Dark World,Movie,Action,Japanese,South Korea,2009,97,6.7,74.12,4585287,0.96,18+,87.24799999999999,0.07,36-45,120-180,Alto,Alto,Inactivo
U103684,C31036,58,Male,UK,56,Standard,15.99,Debit Card,Mobile,2,Sci-Fi,169,10,6,93,2.1,34,84,17,No,Dark World,Movie,Thriller,Korean,South Korea,2011,81,6.5,80.5,500374,0.52,16+,63.40000000000001,0.52,46-60,120-180,Muy alto,Alto,Activo
U118960,C23711,59,Female,Brazil,56,Standard,7.99,Debit Card,Smart TV,2,Documentary,271,19,6,80,2.9,16,40,34,No,Game Last,Movie,Sci-Fi,Spanish,Japan,2022,160,6.5,57.64,6919921,0.52,18+,54.256,0.5,46-60,180+,Alto,Muy alto,Activo
U108937,C21341,48,Female,Brazil,46,Premium,12.99,Debit Card,Mobile,2,Horror,170,2,4,74,2.0,48,92,44,Yes,Secret Dark,Movie,Thriller,Spanish,France,2020,109,5.3,45.86,7346943,0.49,16+,47.744,0.56,46-60,120-180,Medio,Bajo,Inactivo
U103836,C1800,54,Other,India,14,Basic,12.99,UPI,Mobile,2,Drama,31,8,3,30,4.1,45,8,14,Yes,World Secret,Movie,Drama,French,Spain,2000,82,8.1,61.15,5012065,0.82,PG,73.66,0.25,46-60,30-60,Bajo,Alto,Inactivo
U148837,C7777,53,Other,India,23,Basic,15.99,Credit Card,Laptop,3,Action,79,18,8,50,1.1,35,95,25,No,Dark Dark,Series,Action,Korean,France,2003,114,6.6,87.01,8580669,0.6,18+,70.804,0.5,46-60,60-120,Bajo,Muy alto,Activo
U118496,C40203,53,Female,Canada,29,Standard,7.99,Debit Card,Mobile,3,Action,256,16,9,94,3.8,28,92,8,No,Love World,Series,Documentary,Korean,Germany,2017,92,5.8,2.17,8724741,0.75,18+,45.868,0.21,46-60,180+,Muy alto,Muy alto,Activo
U135486,C23194,38,Male,Germany,22,Premium,15.99,Credit Card,Tablet,3,Comedy,117,18,1,99,2.9,17,29,29,No,Secret Dark,Series,Horror,Japanese,Spain,1997,169,5.6,13.78,8167337,0.43,16+,31.312,0.53,36-45,60-120,Muy alto,Muy alto,Activo
U104336,C49632,46,Male,Australia,48,Premium,15.99,UPI,Smart TV,2,Sci-Fi,217,16,14,31,2.2,45,71,58,No,World Love,Movie,Documentary,Japanese,South Korea,1995,157,7.9,52.7,6112692,0.86,PG,72.68,0.13,46-60,180+,Bajo,Muy alto,Activo
U135722,C27751,44,Female,Spain,24,Standard,15.99,Credit Card,Smart TV,3,Documentary,279,19,14,37,2.5,36,11,47,No,Night Love,Movie,Thriller,French,Spain,2020,163,8.0,48.97,890224,0.9,PG,73.588,0.14,36-45,180+,Bajo,Muy alto,Activo
U124069,C29221,27,Other,Australia,53,Premium,12.99,UPI,Mobile,1,Drama,261,14,7,30,2.3,14,83,29,No,Night Night,Series,Romance,German,France,2004,72,5.6,68.05,981560,0.47,PG,55.42,0.51,26-35,180+,Bajo,Muy alto,Activo
U123623,C5559,41,Other,Spain,15,Premium,12.99,Debit Card,Tablet,2,Thriller,293,8,0,89,4.8,0,85,45,No,Night World,Series,Action,French,Germany,2009,169,4.0,98.11,7071382,0.89,PG,92.644,0.11,36-45,180+,Alto,Alto,Activo
U137937,C17301,63,Female,France,3,Standard,15.99,Debit Card,Laptop,3,Comedy,149,8,2,67,1.3,5,17,47,No,Game Life,Movie,Action,Japanese,South Korea,2014,100,6.9,14.78,3205242,0.7,16+,47.912,0.33,60+,120-180,Medio,Alto,Activo
U113728,C256,62,Female,Canada,43,Basic,7.99,PayPal,Mobile,1,Comedy,22,2,5,99,2.5,2,5,11,No,Dark Life,Series,Horror,Korean,France,2023,137,5.5,32.47,6440689,0.41,16+,37.58799999999999,0.68,60+,<30,Muy alto,Bajo,Activo
U135779,C30337,25,Female,UK,34,Standard,15.99,Debit Card,Mobile,2,Drama,276,14,6,70,4.4,17,33,26,No,Game Game,Series,Action,English,Spain,1995,96,7.3,62.58,1521274,0.41,PG-13,49.632,0.57,18-25,180+,Medio,Muy alto,Activo
U146704,C20762,25,Other,Japan,7,Standard,15.99,Credit Card,Laptop,1,Sci-Fi,279,18,4,40,3.0,11,97,59,No,Last Last,Series,Action,Korean,Spain,2014,72,4.4,12.99,7510701,0.46,PG,32.796,0.59,18-25,180+,Bajo,Muy alto,Activo
U104740,C44381,50,Male,Japan,7,Premium,7.99,Debit Card,Tablet,1,Thriller,213,2,12,82,4.1,45,87,24,No,Love Last,Series,Horror,German,South Korea,1999,71,7.0,64.5,1283689,0.48,16+,54.59999999999999,0.5,46-60,180+,Alto,Bajo,Activo
U116898,C26418,42,Male,Germany,38,Basic,12.99,Debit Card,Mobile,1,Action,283,10,4,65,3.0,42,3,42,No,Dark Life,Series,Documentary,Spanish,Germany,1998,167,5.1,67.41,401366,0.94,16+,83.364,0.08,36-45,180+,Medio,Alto,Activo
U141348,C18498,27,Female,France,18,Standard,7.99,Credit Card,Smart TV,1,Action,186,11,0,50,4.6,40,50,54,No,World Life,Movie,Romance,Spanish,USA,1996,164,7.0,36.26,9819995,0.62,16+,51.70399999999999,0.45,26-35,180+,Bajo,Muy alto,Activo
U141470,C40999,45,Other,Canada,7,Standard,15.99,Credit Card,Tablet,2,Comedy,129,19,1,91,4.1,32,55,50,No,Last Secret,Movie,Documentary,Japanese,France,2014,172,8.5,33.3,9684152,0.72,PG,56.52,0.34,36-45,120-180,Muy alto,Muy alto,Activo
U126247,C49202,32,Male,Brazil,37,Standard,12.99,Debit Card,Tablet,1,Documentary,114,7,7,71,3.2,9,32,21,No,World Life,Movie,Drama,French,Germany,2019,79,5.9,89.15,6685839,0.7,PG,77.66,0.33,26-35,60-120,Medio,Alto,Activo
U141941,C46098,39,Female,USA,27,Standard,15.99,PayPal,Smart TV,1,Romance,259,15,5,58,4.6,48,32,6,No,Secret Night,Series,Thriller,Korean,Germany,2020,132,4.8,66.56,4215136,0.59,16+,62.024,0.37,36-45,180+,Medio,Muy alto,Activo
U115062,C40255,47,Female,Spain,1,Premium,7.99,Credit Card,Laptop,3,Documentary,17,7,12,89,3.1,49,25,2,No,Secret Last,Movie,Documentary,Korean,Spain,2005,153,6.7,16.21,2513814,0.45,PG-13,33.484,0.46,46-60,<30,Alto,Alto,Activo
U141460,C35312,46,Male,UK,30,Premium,7.99,UPI,Mobile,3,Drama,92,5,11,49,2.6,5,26,2,Yes,Love Night,Series,Horror,Japanese,France,2024,105,6.8,97.99,97436,0.52,18+,70.396,0.45,46-60,60-120,Bajo,Medio,Inactivo
U131044,C27773,31,Female,USA,25,Premium,15.99,UPI,Mobile,2,Documentary,23,16,8,82,1.6,32,54,27,No,Love Last,Series,Horror,Korean,Japan,2007,160,7.3,78.65,7540263,0.73,PG,75.26,0.23,26-35,<30,Alto,Muy alto,Activo
U107986,C45409,34,Male,Australia,9,Standard,12.99,Debit Card,Mobile,2,Horror,102,3,4,37,1.4,13,10,24,Yes,Secret World,Series,Romance,German,Spain,2006,154,5.9,56.1,6366867,0.5,16+,52.44,0.45,26-35,60-120,Bajo,Medio,Inactivo
U145124,C5765,58,Male,Japan,35,Standard,15.99,PayPal,Smart TV,3,Comedy,104,10,10,76,4.2,30,39,56,No,Night Last,Movie,Drama,English,Japan,2023,144,5.9,90.2,4607024,0.41,18+,60.68000000000001,0.61,46-60,60-120,Alto,Alto,Activo
U124888,C9279,52,Other,UK,40,Standard,15.99,UPI,Smart TV,2,Horror,141,4,12,88,3.2,36,0,49,Yes,Life Dark,Series,Sci-Fi,Spanish,France,2005,95,5.7,44.7,6856632,0.4,PG,41.88,0.56,46-60,120-180,Alto,Medio,Inactivo
U145746,C10041,31,Female,UK,25,Standard,7.99,PayPal,Laptop,2,Action,221,19,1,53,1.5,6,97,22,No,Last World,Series,Documentary,Japanese,Japan,2015,165,6.4,72.2,3412748,0.55,PG-13,61.88,0.5,26-35,180+,Medio,Muy alto,Activo
U143234,C1197,31,Male,Japan,20,Standard,7.99,PayPal,Laptop,2,Documentary,49,3,7,55,3.3,31,95,46,No,Secret Secret,Series,Thriller,Korean,France,2003,138,6.9,8.79,6363041,0.47,18+,31.716,0.49,26-35,30-60,Medio,Medio,Activo
U140409,C31905,40,Male,France,5,Basic,12.99,UPI,Tablet,1,Romance,229,1,0,96,2.5,17,89,20,No,Secret Life,Movie,Romance,Korean,Japan,2010,167,5.6,30.75,5447316,0.95,PG-13,69.3,0.05,36-45,180+,Muy alto,Bajo,Activo
U106837,C2405,32,Male,USA,1,Standard,7.99,UPI,Smart TV,1,Comedy,76,18,8,37,4.5,42,92,49,No,Night Last,Movie,Horror,French,Spain,2000,95,6.4,88.69,2045478,0.78,16+,82.276,0.22,26-35,60-120,Bajo,Muy alto,Activo
U125621,C20410,62,Male,Spain,39,Standard,12.99,Credit Card,Smart TV,1,Thriller,122,18,12,43,2.8,36,8,12,No,Last Last,Movie,Sci-Fi,Korean,Japan,2013,171,7.5,94.83,5411884,0.33,16+,57.732,0.62,60+,120-180,Bajo,Muy alto,Activo
U108943,C33537,29,Female,Australia,52,Basic,15.99,UPI,Mobile,2,Horror,223,5,7,61,4.1,37,27,4,No,Night Game,Series,Drama,Korean,USA,2008,120,5.5,82.01,499175,0.47,PG,61.004,0.46,26-35,180+,Medio,Medio,Activo
U139605,C2704,43,Other,India,58,Standard,7.99,PayPal,Smart TV,2,Drama,232,2,3,87,2.6,40,43,46,No,Life Game,Movie,Horror,English,Germany,2004,118,6.4,52.28,1303501,0.99,PG-13,80.312,0.02,36-45,180+,Alto,Bajo,Activo
U108104,C38085,51,Male,USA,32,Premium,12.99,Credit Card,Tablet,2,Action,26,1,14,75,4.3,8,57,43,No,World Night,Movie,Sci-Fi,English,France,1995,165,5.6,23.1,2220436,0.79,18+,56.64,0.18,46-60,<30,Medio,Bajo,Activo
U110651,C557,53,Other,Brazil,22,Basic,15.99,Credit Card,Mobile,2,Thriller,60,11,12,62,4.0,10,17,42,No,Last Love,Series,Comedy,English,Germany,2009,78,6.8,50.06,2736610,0.5,PG,50.024,0.46,46-60,30-60,Medio,Muy alto,Activo
U130788,C30715,22,Female,India,32,Basic,12.99,UPI,Mobile,2,Romance,99,10,3,50,3.5,39,72,49,No,Last Secret,Series,Horror,Korean,Japan,2008,131,5.3,90.75,5192903,0.79,16+,83.7,0.29,18-25,60-120,Bajo,Alto,Activo
U114146,C42137,31,Male,Germany,1,Standard,7.99,UPI,Laptop,1,Drama,143,10,11,47,4.3,40,77,4,No,Game Last,Series,Comedy,French,Japan,2023,140,5.8,68.77,7460651,0.86,PG-13,79.108,0.23,26-35,120-180,Bajo,Alto,Activo
U115156,C28932,57,Female,Brazil,3,Basic,12.99,Debit Card,Smart TV,1,Thriller,268,12,11,92,4.4,10,46,29,No,Secret World,Movie,Action,Korean,Germany,2008,162,6.8,62.99,9166454,0.56,18+,58.79600000000001,0.46,46-60,180+,Muy alto,Muy alto,Activo
U132996,C15110,41,Female,Australia,35,Standard,15.99,Debit Card,Smart TV,1,Thriller,132,3,3,58,3.6,47,29,18,No,Love Secret,Movie,Horror,English,France,2022,121,6.3,98.76,7172945,0.65,16+,78.504,0.37,36-45,120-180,Medio,Medio,Activo
U138065,C2573,30,Male,Spain,6,Standard,12.99,UPI,Tablet,3,Romance,110,18,0,45,4.7,5,6,40,No,Secret Life,Movie,Action,German,Japan,2002,114,6.5,2.99,660424,0.92,PG-13,56.39599999999999,0.07,26-35,60-120,Bajo,Muy alto,Activo
U128491,C16159,50,Female,Spain,13,Premium,12.99,Credit Card,Mobile,2,Documentary,179,18,14,60,1.2,2,88,39,No,Game Night,Series,Documentary,Spanish,Spain,1999,105,8.5,78.63,4577938,0.86,18+,83.05199999999999,0.18,46-60,120-180,Medio,Muy alto,Activo
U123853,C34596,22,Female,Spain,4,Premium,12.99,Credit Card,Tablet,2,Documentary,160,10,5,99,1.2,11,95,15,No,Night Last,Series,Comedy,English,USA,2003,81,7.1,1.98,2409352,0.98,PG,59.592,0.02,18-25,120-180,Muy alto,Alto,Activo
U119794,C15088,36,Female,Japan,57,Basic,12.99,PayPal,Tablet,2,Documentary,125,10,14,90,1.2,38,43,12,Yes,Game Life,Movie,Drama,German,USA,2009,159,7.4,19.09,5743188,0.41,16+,32.236,0.63,36-45,120-180,Alto,Alto,Inactivo
U106778,C27522,46,Other,Australia,24,Standard,15.99,PayPal,Mobile,3,Romance,69,11,5,57,4.8,32,33,49,No,Night Last,Movie,Drama,English,Japan,2004,160,4.5,21.8,7304708,0.45,18+,35.72,0.56,46-60,60-120,Medio,Muy alto,Activo
U132256,C28818,49,Male,India,53,Basic,12.99,UPI,Smart TV,2,Comedy,37,12,3,82,1.6,37,60,32,Yes,World Game,Movie,Documentary,Korean,Spain,2001,164,5.8,97.76,8173089,0.99,18+,98.504,0.0,46-60,30-60,Alto,Muy alto,Inactivo
U144245,C3854,36,Other,Japan,53,Standard,15.99,Debit Card,Mobile,3,Action,155,1,9,75,4.4,7,37,22,No,Secret Game,Series,Drama,French,USA,1997,118,5.0,9.19,3938545,0.82,16+,52.876,0.08,36-45,120-180,Medio,Bajo,Activo
U118211,C12604,37,Female,Brazil,59,Basic,15.99,Credit Card,Tablet,2,Action,151,9,13,94,2.2,37,34,40,No,Game Last,Movie,Comedy,Japanese,USA,2000,112,7.0,89.13,9376265,0.35,PG,56.652,0.7,36-45,120-180,Muy alto,Alto,Activo
U100059,C30426,53,Other,UK,49,Premium,12.99,Debit Card,Mobile,2,Horror,167,17,10,32,4.8,16,11,15,No,Night Life,Movie,Documentary,Japanese,Japan,1996,78,6.2,56.89,623654,0.52,PG,53.956,0.5,46-60,120-180,Bajo,Muy alto,Activo
U103037,C22585,58,Male,UK,54,Basic,7.99,Credit Card,Mobile,2,Horror,264,4,0,92,1.3,0,16,57,No,World Last,Series,Romance,Korean,France,2006,114,6.0,92.03,5621912,0.9,16+,90.81200000000001,0.09,46-60,180+,Muy alto,Medio,Activo
U115529,C49065,32,Other,Germany,44,Standard,7.99,Credit Card,Tablet,2,Thriller,34,2,1,83,3.9,5,75,12,No,Dark Night,Movie,Action,German,Spain,2014,128,5.6,73.0,8852754,0.52,PG-13,60.40000000000001,0.54,26-35,30-60,Alto,Bajo,Activo
U146219,C40760,23,Female,Spain,57,Standard,12.99,Credit Card,Mobile,1,Comedy,101,3,12,88,2.1,39,40,32,No,Last Game,Movie,Comedy,French,Germany,2013,127,6.8,15.02,3189384,0.56,PG-13,39.608,0.39,18-25,60-120,Alto,Medio,Activo
U102191,C41616,54,Male,Germany,30,Premium,12.99,Debit Card,Laptop,1,Horror,57,17,14,56,4.0,47,13,9,No,Night Dark,Series,Horror,Japanese,South Korea,2023,157,6.6,59.34,6395143,0.63,PG-13,61.536,0.4,46-60,30-60,Medio,Muy alto,Activo
U107951,C13994,23,Female,Germany,27,Standard,12.99,PayPal,Smart TV,3,Romance,111,2,11,73,4.8,14,68,30,Yes,Love Life,Series,Horror,Japanese,Japan,2000,169,4.8,43.67,4748135,0.82,PG-13,66.66799999999999,0.14,18-25,60-120,Medio,Bajo,Inactivo
U103242,C30550,36,Female,USA,52,Basic,7.99,PayPal,Tablet,3,Horror,114,19,13,59,3.7,35,27,44,No,Dark World,Series,Documentary,Japanese,South Korea,2000,102,7.2,0.65,1131844,0.56,18+,33.86,0.4,36-45,60-120,Medio,Muy alto,Activo
U116274,C11757,45,Other,Spain,34,Standard,15.99,Debit Card,Smart TV,3,Thriller,132,14,1,62,4.7,9,92,46,No,Game Love,Movie,Documentary,English,South Korea,2024,149,6.5,14.28,7393773,0.95,PG-13,62.712,0.0,36-45,120-180,Medio,Muy alto,Activo
U135419,C48022,23,Other,UK,30,Premium,12.99,Credit Card,Laptop,3,Documentary,13,5,8,56,3.0,15,51,56,No,World Last,Movie,Comedy,Korean,South Korea,1998,163,7.2,25.95,7454984,0.65,16+,49.38,0.35,18-25,<30,Medio,Medio,Activo
U128535,C24912,49,Female,USA,18,Premium,7.99,Credit Card,Tablet,2,Comedy,275,7,7,83,3.7,26,63,28,No,Night Night,Movie,Thriller,German,France,2008,78,6.7,64.1,269954,0.75,16+,70.64,0.26,46-60,180+,Alto,Alto,Activo
U109707,C7481,20,Male,USA,31,Premium,12.99,Credit Card,Laptop,3,Comedy,280,7,1,33,2.9,19,89,54,No,Night Life,Movie,Action,Korean,South Korea,2019,133,5.9,12.61,8374683,0.98,PG-13,63.84399999999999,0.1,18-25,180+,Bajo,Alto,Activo
U105234,C24212,23,Male,Japan,6,Standard,15.99,UPI,Tablet,3,Sci-Fi,233,16,10,44,1.6,8,17,8,No,Game Last,Series,Comedy,English,USA,1998,97,4.9,70.97,6231735,0.99,PG,87.788,0.02,18-25,180+,Bajo,Muy alto,Activo
U137642,C20927,20,Female,Canada,24,Standard,15.99,UPI,Laptop,1,Comedy,73,16,9,60,2.3,46,28,47,No,World Last,Movie,Comedy,German,South Korea,2003,179,8.0,45.44,6259152,0.62,16+,55.37599999999999,0.44,18-25,60-120,Medio,Muy alto,Activo
U100661,C24940,33,Male,France,13,Premium,15.99,Credit Card,Tablet,1,Sci-Fi,261,10,0,65,4.1,6,46,37,No,Game Dark,Series,Thriller,French,France,2006,74,6.6,48.08,446944,0.86,18+,70.832,0.15,26-35,180+,Medio,Alto,Activo
U129802,C31350,62,Male,Brazil,38,Premium,7.99,Credit Card,Smart TV,2,Documentary,114,13,14,57,4.7,3,12,28,No,Life World,Series,Documentary,English,USA,1996,88,7.0,97.25,8379329,0.99,PG-13,98.30000000000001,0.02,60+,60-120,Medio,Muy alto,Activo
