user_id,age,gender,country,account_age_months,subscription_type,monthly_fee,payment_method,primary_device,devices_used,favorite_genre,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,rating_given,content_interactions,recommendation_click_rate,days_since_last_login,churned
U100103,34,Other,USA,48,Premium,7.99,Credit Card,Smart TV,3,Action,58,4,0,65,4.1,6,92,59,No
U100104,25,Male,France,7,Standard,12.99,PayPal,Tablet,3,Comedy,215,15,6,82,4.8,13,38,49,Yes
U100105,52,Male,Germany,3,Standard,7.99,UPI,Mobile,1,Horror,248,15,14,95,4.5,2,78,2,No
U100106,52,Other,France,22,Standard,12.99,PayPal,Mobile,1,Horror,114,6,5,52,4.2,17,81,49,Yes
U100107,50,Female,Spain,31,Standard,7.99,UPI,Mobile,3,Sci-Fi,96,8,12,44,2.8,12,8,22,No
U100108,22,Female,USA,3,Standard,7.99,PayPal,Laptop,2,Sci-Fi,212,17,7,86,2.4,39,39,16,No
U100109,59,Male,India,17,Standard,15.99,Credit Card,Mobile,3,Thriller,283,9,1,92,2.9,33,92,11,No
U100110,56,Male,Brazil,18,Basic,12.99,Debit Card,Laptop,2,Drama,212,8,2,73,2.8,25,68,41,No
U100111,58,Male,Japan,15,Standard,7.99,Debit Card,Laptop,1,Documentary,210,11,11,56,4.6,33,41,39,No
U100112,45,Female,France,55,Standard,7.99,Debit Card,Mobile,1,Sci-Fi,235,12,1,80,3.4,7,38,57,Yes
U100113,24,Male,France,53,Premium,7.99,PayPal,Smart TV,3,Documentary,26,11,3,90,4.5,23,93,28,No
U100114,26,Other,Germany,38,Basic,7.99,PayPal,Mobile,1,Documentary,36,2,10,62,2.9,38,57,6,No
U100115,25,Female,Germany,35,Basic,15.99,UPI,Tablet,3,Comedy,60,18,9,33,3.4,1,40,20,No
U100116,29,Female,France,16,Premium,15.99,PayPal,Laptop,2,Drama,235,2,12,79,3.0,12,46,29,No
U100117,51,Other,India,41,Basic,15.99,UPI,Laptop,1,Drama,105,4,3,51,3.1,20,75,30,No
U100118,50,Other,Spain,30,Standard,12.99,PayPal,Laptop,2,Thriller,131,17,4,91,2.1,9,37,15,Yes
U100119,40,Female,France,35,Basic,12.99,Debit Card,Laptop,3,Drama,184,17,3,51,1.0,20,77,16,No
U100120,41,Male,Canada,52,Basic,7.99,Debit Card,Mobile,2,Action,61,11,4,57,2.1,27,22,1,No
U100121,54,Female,UK,17,Standard,15.99,Credit Card,Mobile,2,Romance,184,2,3,64,2.5,40,40,28,No
U100122,52,Male,Brazil,15,Standard,12.99,UPI,Mobile,3,Comedy,45,16,5,84,1.8,44,5,10,Yes
U100123,61,Other,Germany,42,Premium,12.99,UPI,Laptop,1,Sci-Fi,77,8,0,47,2.7,9,11,10,No
U100124,57,Male,Spain,50,Premium,12.99,Credit Card,Tablet,1,Documentary,118,8,12,65,4.7,30,50,14,No
U100125,39,Other,UK,27,Basic,7.99,PayPal,Tablet,3,Action,281,3,10,75,1.8,48,4,15,Yes
U100126,44,Male,Australia,1,Basic,15.99,Debit Card,Tablet,1,Romance,236,12,4,62,4.7,40,51,32,No
U100127,52,Male,Germany,30,Basic,15.99,Credit Card,Mobile,1,Horror,175,5,2,97,5.0,8,35,11,Yes
U100128,18,Other,UK,30,Premium,12.99,Debit Card,Smart TV,3,Comedy,93,2,4,83,2.9,7,31,15,No
U100129,52,Male,Japan,5,Premium,7.99,Debit Card,Mobile,1,Romance,240,5,8,35,4.4,44,59,44,No
U100130,54,Female,India,1,Premium,7.99,PayPal,Mobile,3,Romance,134,10,14,51,2.1,25,75,37,Yes
U100131,64,Male,UK,4,Basic,15.99,Credit Card,Laptop,2,Thriller,182,16,6,76,2.4,33,52,34,No
U100132,31,Female,UK,11,Premium,7.99,Debit Card,Mobile,2,Horror,208,7,9,71,4.3,4,82,20,No
U100133,20,Other,USA,58,Premium,7.99,Debit Card,Laptop,2,Thriller,241,3,14,62,1.5,6,78,48,No
U100134,18,Male,Brazil,13,Premium,7.99,PayPal,Smart TV,3,Romance,173,12,9,78,3.8,41,47,56,No
U100135,22,Male,France,10,Basic,12.99,Debit Card,Smart TV,1,Drama,12,6,10,30,1.1,11,11,19,No
U100136,43,Female,France,44,Premium,7.99,Credit Card,Laptop,1,Thriller,206,13,10,57,4.1,48,83,28,Yes
U100137,31,Female,France,53,Standard,15.99,Credit Card,Mobile,3,Romance,24,11,12,77,3.9,21,25,39,No
U100138,56,Other,Brazil,24,Standard,15.99,UPI,Smart TV,3,Action,185,3,13,32,2.3,34,46,48,No
U100139,44,Female,France,20,Basic,7.99,UPI,Laptop,3,Romance,271,6,4,51,3.7,26,94,16,Yes
U100140,26,Female,Japan,18,Premium,15.99,UPI,Laptop,1,Thriller,13,14,2,55,4.9,40,53,26,No
U100141,32,Female,Germany,23,Standard,15.99,Credit Card,Mobile,3,Comedy,42,11,2,64,3.0,27,4,15,Yes
U100142,32,Male,USA,41,Premium,7.99,PayPal,Smart TV,1,Thriller,118,19,9,71,1.8,17,47,24,No
U100143,43,Male,USA,42,Standard,7.99,Debit Card,Mobile,1,Drama,76,13,2,42,3.6,39,86,16,No
U100144,59,Male,USA,43,Standard,12.99,Credit Card,Smart TV,1,Thriller,189,1,13,88,4.5,22,36,33,No
U100145,30,Male,India,35,Standard,7.99,PayPal,Mobile,2,Thriller,46,1,5,46,1.8,31,9,5,No
U100146,49,Male,Canada,44,Standard,12.99,PayPal,Smart TV,1,Romance,172,3,8,89,1.7,34,72,28,No
U100147,56,Female,France,27,Standard,15.99,Debit Card,Tablet,2,Comedy,213,13,14,76,2.8,15,57,42,No
U100148,49,Female,Brazil,15,Standard,12.99,UPI,Tablet,3,Thriller,235,2,0,73,2.6,38,96,8,No
U100149,21,Male,Germany,24,Basic,15.99,Debit Card,Mobile,3,Romance,221,11,14,37,3.6,29,3,0,No
U100150,47,Male,Brazil,30,Standard,7.99,Credit Card,Tablet,3,Sci-Fi,142,17,0,85,3.4,24,37,46,No
U100151,54,Other,India,1,Premium,7.99,UPI,Tablet,1,Comedy,122,3,6,96,3.3,37,60,57,No
U100152,40,Other,France,41,Basic,7.99,Credit Card,Laptop,2,Horror,241,15,3,39,1.0,21,19,11,No
U100153,56,Female,UK,3,Standard,12.99,Debit Card,Tablet,2,Action,280,11,10,46,2.2,36,25,5,No
U100154,62,Other,Japan,39,Standard,15.99,PayPal,Tablet,2,Thriller,249,9,10,55,1.7,43,10,38,No
U100155,32,Female,Spain,24,Standard,15.99,Debit Card,Smart TV,1,Romance,252,9,7,54,4.6,0,75,5,No
U100156,60,Other,Spain,32,Standard,7.99,Credit Card,Laptop,3,Comedy,118,5,6,60,2.3,1,23,26,No
U100157,46,Male,Canada,4,Basic,7.99,Debit Card,Tablet,1,Comedy,252,13,0,30,3.4,48,23,47,No
U100158,53,Male,Germany,34,Premium,15.99,Credit Card,Smart TV,3,Romance,270,13,8,79,3.6,4,21,54,No
U100159,30,Female,Germany,1,Standard,15.99,UPI,Mobile,2,Action,67,8,9,30,3.3,41,81,34,Yes
U100160,49,Female,India,21,Basic,15.99,Debit Card,Laptop,1,Documentary,66,19,8,44,3.2,9,10,53,No
U100161,24,Female,Canada,8,Standard,7.99,UPI,Laptop,2,Documentary,204,13,1,81,1.0,32,82,48,Yes
U100162,39,Female,Brazil,46,Basic,12.99,UPI,Laptop,3,Sci-Fi,212,4,3,87,3.5,3,66,52,No
U100163,45,Other,India,12,Premium,15.99,Credit Card,Smart TV,3,Romance,198,17,5,51,1.8,46,17,56,No
U100164,19,Male,Germany,1,Standard,12.99,Debit Card,Tablet,1,Romance,69,18,0,71,3.8,1,89,27,No
U100165,59,Other,Germany,22,Standard,7.99,Debit Card,Smart TV,1,Thriller,203,16,2,91,4.7,29,36,18,No
U100166,62,Male,Germany,14,Premium,12.99,PayPal,Mobile,1,Thriller,271,8,1,35,3.0,2,48,44,No
U100167,23,Male,Brazil,25,Standard,12.99,Debit Card,Laptop,1,Thriller,220,9,0,54,4.2,19,39,14,No
U100168,45,Other,Spain,28,Premium,15.99,Debit Card,Mobile,2,Action,223,19,14,49,3.7,22,71,3,Yes
U100169,45,Female,Brazil,8,Basic,7.99,PayPal,Tablet,1,Thriller,132,19,7,83,4.6,7,54,10,No
U100170,61,Other,Australia,40,Basic,15.99,UPI,Tablet,2,Drama,236,4,5,50,4.4,15,50,21,No
U100171,61,Other,USA,37,Standard,15.99,Credit Card,Smart TV,3,Comedy,10,5,7,77,4.7,36,15,59,No
U100172,37,Other,UK,25,Premium,15.99,Credit Card,Smart TV,2,Documentary,124,10,8,98,2.5,49,80,7,No
U100173,47,Male,USA,55,Premium,15.99,Debit Card,Tablet,1,Comedy,41,11,14,74,3.5,42,98,6,No
U100174,28,Female,Brazil,23,Basic,15.99,Credit Card,Mobile,2,Sci-Fi,189,5,9,61,4.6,42,89,15,Yes
U100175,45,Male,Germany,44,Premium,15.99,Credit Card,Smart TV,1,Horror,294,11,11,77,4.8,29,35,21,No
U100176,42,Other,India,37,Standard,12.99,UPI,Mobile,3,Romance,60,14,4,63,1.4,49,28,31,No
U100177,56,Other,Spain,41,Standard,15.99,Credit Card,Tablet,2,Drama,265,7,12,55,3.8,44,1,2,No
U100178,50,Male,India,16,Premium,7.99,PayPal,Smart TV,1,Horror,160,6,7,49,4.7,4,50,34,No
U100179,18,Male,Brazil,59,Standard,15.99,Credit Card,Laptop,3,Drama,169,15,0,34,1.7,7,64,12,Yes
U100180,44,Female,Germany,4,Standard,15.99,Debit Card,Smart TV,1,Horror,269,6,8,95,3.3,38,84,51,Yes
U100181,30,Other,Canada,38,Premium,15.99,PayPal,Laptop,1,Drama,162,9,11,46,1.6,6,65,56,No
U100182,58,Male,Australia,36,Premium,12.99,UPI,Laptop,1,Horror,69,17,1,62,2.7,18,40,55,No
U100183,20,Male,UK,33,Premium,7.99,PayPal,Smart TV,2,Thriller,37,7,13,36,4.9,13,31,45,No
U100184,56,Male,UK,45,Premium,12.99,Debit Card,Mobile,3,Horror,82,11,5,63,4.5,41,23,30,No
U100185,23,Male,Australia,45,Standard,12.99,PayPal,Tablet,1,Documentary,236,13,11,53,1.6,26,65,30,No
U100186,25,Other,India,49,Premium,7.99,UPI,Mobile,3,Documentary,138,15,13,39,1.8,14,52,7,Yes
U100187,44,Female,UK,30,Premium,12.99,UPI,Tablet,1,Thriller,114,4,3,49,4.1,41,53,5,No
U100188,26,Male,Canada,45,Basic,7.99,PayPal,Smart TV,1,Thriller,275,17,12,77,2.7,9,70,34,No
U100189,54,Male,Spain,57,Standard,7.99,Credit Card,Mobile,1,Documentary,111,5,4,71,2.2,20,66,33,No
U100190,50,Female,UK,11,Standard,7.99,Debit Card,Mobile,3,Drama,174,12,8,33,2.6,43,8,53,Yes
U100191,59,Other,Australia,50,Basic,15.99,PayPal,Smart TV,1,Horror,105,11,7,35,1.0,24,16,3,No
U100192,61,Male,France,47,Premium,7.99,UPI,Tablet,1,Romance,248,8,8,58,2.0,6,20,34,No
U100193,41,Female,UK,13,Basic,15.99,Debit Card,Smart TV,3,Comedy,65,19,7,49,1.8,16,75,5,No
U100194,32,Female,Brazil,55,Basic,15.99,Credit Card,Laptop,3,Documentary,183,10,13,40,3.7,9,78,6,No
U100195,49,Other,Canada,44,Standard,15.99,Debit Card,Laptop,2,Romance,28,18,4,88,5.0,48,29,5,No
U100196,49,Female,UK,4,Premium,7.99,UPI,Tablet,2,Sci-Fi,156,18,13,35,3.3,46,14,37,No
U100197,41,Other,India,24,Basic,12.99,UPI,Smart TV,1,Drama,85,11,10,58,5.0,47,0,34,No
U100198,58,Female,Australia,33,Basic,15.99,Credit Card,Tablet,1,Documentary,290,16,13,98,3.9,43,97,6,No
U100199,29,Male,Australia,33,Standard,7.99,Debit Card,Tablet,1,Sci-Fi,279,9,13,44,2.7,3,4,14,No
U100200,56,Other,India,12,Premium,12.99,UPI,Smart TV,2,Horror,278,8,4,56,3.1,14,78,38,No
U100201,19,Female,Japan,21,Premium,7.99,PayPal,Mobile,1,Horror,12,3,13,98,4.5,34,60,30,No
U100202,20,Male,Brazil,33,Basic,15.99,Credit Card,Laptop,3,Horror,252,11,2,61,4.5,48,25,58,No
U100203,54,Female,France,46,Standard,15.99,PayPal,Mobile,2,Horror,176,12,1,93,3.6,37,69,45,No
U100204,34,Male,UK,33,Premium,7.99,Debit Card,Mobile,3,Romance,31,7,3,91,3.8,41,30,42,No
U100205,19,Other,UK,9,Basic,7.99,Credit Card,Smart TV,2,Sci-Fi,246,19,0,98,1.3,27,84,9,No
U100206,19,Male,Canada,31,Standard,7.99,PayPal,Smart TV,3,Sci-Fi,295,16,8,48,2.0,4,64,41,Yes
U100207,45,Female,Japan,58,Standard,7.99,UPI,Smart TV,1,Comedy,213,11,0,85,4.1,23,9,51,No
U100208,40,Male,Australia,30,Premium,12.99,Debit Card,Smart TV,3,Comedy,66,10,0,61,4.6,33,7,47,No
U100209,54,Male,India,16,Basic,7.99,Debit Card,Laptop,3,Comedy,70,12,0,42,2.0,16,85,57,No
U100210,49,Other,Germany,12,Standard,15.99,Debit Card,Smart TV,1,Comedy,41,7,8,82,3.2,6,26,50,No
U100211,50,Male,Spain,54,Premium,7.99,UPI,Laptop,1,Sci-Fi,276,14,0,91,4.2,19,96,40,Yes
U100212,18,Male,France,48,Standard,7.99,Credit Card,Smart TV,1,Documentary,67,3,13,42,2.8,44,92,37,No
U100213,36,Female,Germany,9,Premium,12.99,PayPal,Laptop,1,Thriller,166,2,14,83,1.5,16,2,7,No
U100214,19,Female,USA,35,Premium,15.99,PayPal,Tablet,3,Sci-Fi,242,14,8,57,2.6,48,78,53,No
U100215,61,Other,Japan,53,Standard,15.99,Credit Card,Laptop,2,Comedy,263,4,7,53,1.1,6,29,50,Yes
U100216,43,Other,Spain,43,Basic,15.99,PayPal,Smart TV,2,Romance,95,10,5,75,2.7,36,85,55,No
U100217,49,Other,France,6,Standard,15.99,Credit Card,Laptop,1,Action,159,6,5,68,3.3,23,24,49,No
U100218,23,Female,Germany,25,Standard,12.99,UPI,Laptop,2,Action,231,9,3,55,2.2,16,13,28,No
U100219,49,Male,France,56,Basic,7.99,UPI,Mobile,1,Horror,259,11,9,53,4.6,22,79,54,No
U100220,21,Other,UK,28,Basic,12.99,PayPal,Mobile,2,Comedy,100,7,12,85,1.5,47,90,33,Yes
U100221,28,Female,Japan,23,Standard,7.99,Debit Card,Tablet,1,Action,65,6,14,59,2.3,44,1,31,No
U100222,34,Female,Canada,29,Premium,12.99,UPI,Mobile,1,Comedy,128,1,13,95,4.5,8,26,46,No
U100223,55,Other,France,22,Standard,7.99,PayPal,Tablet,2,Documentary,76,5,8,85,3.2,38,94,57,No
U100224,41,Female,France,58,Basic,7.99,Credit Card,Mobile,2,Horror,123,16,4,51,1.4,14,55,20,No
U100225,22,Male,India,58,Premium,15.99,Debit Card,Smart TV,3,Drama,149,4,10,49,2.4,8,65,37,No
U100226,51,Female,Japan,24,Premium,7.99,Credit Card,Mobile,2,Horror,27,7,13,51,1.4,13,11,12,No
U100227,23,Female,India,20,Basic,15.99,UPI,Smart TV,2,Documentary,206,14,9,38,1.7,20,64,52,Yes
U100228,39,Male,Spain,27,Standard,15.99,PayPal,Mobile,3,Drama,73,11,6,70,4.5,1,74,7,No
